id_exercise|DateTime_Start|DateTime_End|n_poses|n_sets|n_reps|total_poses|seconds_rest_time|Class|Prob|count_pose_g|count_pose|count_rep|count_set|right_elbow_angles_pu|right_hip_angles_pu|right_knee_angles_pu|right_shoulder_angles_cu|right_hip_angles_cu|right_knee_angles_cu|right_shoulder_angles_fp|right_hip_angles_fp|right_ankle_angles_fp|right_hip_angles_fl|right_knee_angles_fl|left_knee_angles_fl|right_shoulder_angles_bd|right_hip_angles_bd|right_knee_angles_bd|left_knee_angles_bd|right_elbow_angles_bd|left_elbow_angles_bd|pose_trainer_cost_min|pose_trainer_cost_max|pose_user_cost
push_up|2023-05-28 00:20:39.651|2023-05-28 00:20:52.196|3|2|1|6|5|push_up|37.0|1|1|1|1|166|173|179||||||||||||||||0|99|71.5468
push_up|2023-05-28 00:20:52.196|2023-05-28 00:20:55.600|3|2|1|6|5|push_up|38.0|2|2|1|1|112|176|177||||||||||||||||0|99|69.4743
push_up|2023-05-28 00:20:55.600|2023-05-28 00:21:09.771|3|2|1|6|5|push_up|38.0|3|3|1|1|162|175|178||||||||||||||||0|99|71.4815
push_up|2023-05-28 00:21:09.771|2023-05-28 00:21:41.429|3|2|1|6|5|push_up|38.0|4|1|1|2|157|174|179||||||||||||||||0|99|72.4962
push_up|2023-05-28 00:21:41.429|2023-05-28 00:21:51.521|3|2|1|6|5|push_up|36.0|5|2|1|2|87|175|177||||||||||||||||0|99|62.3682
push_up|2023-05-28 00:21:51.521|2023-05-28 00:21:54.086|3|2|1|6|5|push_up|38.0|6|3|1|2|157|175|178||||||||||||||||0|99|71.7824
