id_exercise,DateTime_Start,n_poses,n_sets,n_reps,total_poses,seconds_rest_time,Class,Prob,count_pose_g,count_pose,count_rep,count_set,right_elbow_angles_pu,right_hip_angles_pu,right_knee_angles_pu,right_shoulder_angles_cu,right_hip_angles_cu,right_knee_angles_cu,right_shoulder_angles_fp,right_hip_angles_fp,right_ankle_angles_fp,right_hip_angles_fl,right_knee_angles_fl,left_knee_angles_fl,right_shoulder_angles_bd,right_hip_angles_bd,right_knee_angles_bd,left_knee_angles_bd,right_elbow_angles_bd,left_elbow_angles_bd,pose_trainer_cost_min,pose_trainer_cost_max,pose_user_cost
push_up,2023-04-10 02:18:49.653,3,1,1,3,1,push_up,36.0,1,1,1,1,157,179,175,,,,,,,,,,,,,,,,-1.54,13.34,52.5635
push_up,2023-04-10 02:18:52.610,3,1,1,3,1,push_up,35.0,2,2,1,1,76,175,178,,,,,,,,,,,,,,,,-11.9,42.86,59.9352
push_up,2023-04-10 02:18:54.094,3,1,1,3,1,push_up,36.0,3,3,1,1,170,179,173,,,,,,,,,,,,,,,,-0.43,12.91,49.7689
