id_exercise,DateTime_Start,n_poses,n_sets,n_reps,total_poses,seconds_rest_time,Class,Prob,count_pose_g,count_pose,count_rep,count_set,right_elbow_angles_pu,right_hip_angles_pu,right_knee_angles_pu,right_shoulder_angles_cu,right_hip_angles_cu,right_knee_angles_cu,right_shoulder_angles_fp,right_hip_angles_fp,right_ankle_angles_fp,right_hip_angles_fl,right_knee_angles_fl,left_knee_angles_fl,right_shoulder_angles_bd,right_hip_angles_bd,right_knee_angles_bd,left_knee_angles_bd,right_elbow_angles_bd,left_elbow_angles_bd,pose_trainer_cost_min,pose_trainer_cost_max,pose_user_cost
push_up,2023-04-15 19:27:50.146,3,1,1,3,1,push_up,29.0,1,1,1,1,170,178,177,,,,,,,,,,,,,,,,-1.54,13.34,50.3849
push_up,2023-04-15 19:27:55.335,3,1,1,3,1,push_up,26.0,2,2,1,1,57,175,176,,,,,,,,,,,,,,,,-11.9,42.86,60.245
push_up,2023-04-15 19:28:01.209,3,1,1,3,1,push_up,29.0,3,3,1,1,168,178,179,,,,,,,,,,,,,,,,-0.43,12.91,51.2614
