id_exercise,DateTime_Start,n_poses,n_sets,n_reps,total_poses,seconds_rest_time,Class,Prob,count_pose_g,count_pose,count_rep,count_set,right_elbow_angles_pu,right_hip_angles_pu,right_knee_angles_pu,right_shoulder_angles_cu,right_hip_angles_cu,right_knee_angles_cu,right_shoulder_angles_fp,right_hip_angles_fp,right_ankle_angles_fp,right_hip_angles_fl,right_knee_angles_fl,left_knee_angles_fl,right_shoulder_angles_bd,right_hip_angles_bd,right_knee_angles_bd,left_knee_angles_bd,right_elbow_angles_bd,left_elbow_angles_bd,pose_trainer_cost_min,pose_trainer_cost_max,pose_user_cost
push_up,2023-04-08 20:08:40.624,3,2,1,6,5,push_up,33.0,1,1,1,1,160,175,177,,,,,,,,,,,,,,,,-1.54,13.34,78.8377
push_up,2023-04-08 20:08:43.483,3,2,1,6,5,push_up,30.0,2,2,1,1,84,175,178,,,,,,,,,,,,,,,,-11.9,42.86,72.8972
push_up,2023-04-08 20:08:45.965,3,2,1,6,5,push_up,27.0,3,3,1,1,158,170,175,,,,,,,,,,,,,,,,-0.43,12.91,63.6945
push_up,2023-04-08 20:08:56.292,3,2,1,6,5,push_up,61.0,4,1,1,2,161,177,174,,,,,,,,,,,,,,,,-1.54,13.34,61.0892
push_up,2023-04-08 20:08:59.613,3,2,1,6,5,push_up,28.0,5,2,1,2,62,175,179,,,,,,,,,,,,,,,,-11.9,42.86,63.5506
push_up,2023-04-08 20:09:13.697,3,2,1,6,5,push_up,29.0,6,3,1,2,161,174,176,,,,,,,,,,,,,,,,-0.43,12.91,79.1698
