id_exercise,DateTime_Start,DateTime_End,n_poses,n_sets,n_reps,total_poses,seconds_rest_time,Class,Prob,count_pose_g,count_pose,count_rep,count_set,right_elbow_angles_pu,right_hip_angles_pu,right_knee_angles_pu,right_shoulder_angles_cu,right_hip_angles_cu,right_knee_angles_cu,right_shoulder_angles_fp,right_hip_angles_fp,right_ankle_angles_fp,right_hip_angles_fl,right_knee_angles_fl,left_knee_angles_fl,right_shoulder_angles_bd,right_hip_angles_bd,right_knee_angles_bd,left_knee_angles_bd,right_elbow_angles_bd,left_elbow_angles_bd,pose_trainer_cost_min,pose_trainer_cost_max,pose_user_cost
push_up,2023-04-23 21:54:50.699,2023-04-23 21:54:52.984,3,1,2,6,1,push_up,29.0,1,1,1,1,169,176,177,,,,,,,,,,,,,,,,-1.54,13.34,66.1541
push_up,2023-04-23 21:54:52.984,2023-04-23 21:54:58.669,3,1,2,6,1,push_up,25.0,2,2,1,1,73,177,178,,,,,,,,,,,,,,,,-11.9,42.86,69.2711
push_up,2023-04-23 21:54:58.669,2023-04-23 21:55:00.060,3,1,2,6,1,push_up,28.0,3,3,1,1,159,178,179,,,,,,,,,,,,,,,,-0.43,12.91,64.9683
push_up,2023-04-23 21:55:00.060,2023-04-23 21:55:01.626,3,1,2,6,1,push_up,29.0,4,1,2,1,167,176,179,,,,,,,,,,,,,,,,-1.54,13.34,63.5304
push_up,2023-04-23 21:55:01.626,2023-04-23 21:55:08.830,3,1,2,6,1,push_up,26.0,5,2,2,1,59,176,178,,,,,,,,,,,,,,,,-11.9,42.86,66.8535
push_up,2023-04-23 21:55:08.830,2023-04-23 21:55:10.267,3,1,2,6,1,push_up,29.0,6,3,2,1,163,173,179,,,,,,,,,,,,,,,,-0.43,12.91,71.7893
