id_exercise,DateTime_Start,n_poses,n_sets,n_reps,total_poses,seconds_rest_time,Class,Prob,count_pose_g,count_pose,count_rep,count_set,right_elbow_angles_pu,right_hip_angles_pu,right_knee_angles_pu,right_shoulder_angles_cu,right_hip_angles_cu,right_knee_angles_cu,right_shoulder_angles_fp,right_hip_angles_fp,right_ankle_angles_fp,right_hip_angles_fl,right_knee_angles_fl,left_knee_angles_fl,right_shoulder_angles_bd,right_hip_angles_bd,right_knee_angles_bd,left_knee_angles_bd,right_elbow_angles_bd,left_elbow_angles_bd,pose_trainer_cost_min,pose_trainer_cost_max,pose_user_cost
push_up,2023-04-08 23:48:47.830,3,2,1,6,5,push_up,31.0,1,1,1,1,157,179,175,,,,,,,,,,,,,,,,-1.54,13.34,64.0908
push_up,2023-04-08 23:48:52.061,3,2,1,6,5,push_up,28.0,2,2,1,1,61,175,177,,,,,,,,,,,,,,,,-11.9,42.86,88.5048
push_up,2023-04-08 23:48:53.625,3,2,1,6,5,push_up,32.0,3,3,1,1,157,177,178,,,,,,,,,,,,,,,,-0.43,12.91,61.4675
push_up,2023-04-08 23:49:03.648,3,2,1,6,5,push_up,36.0,4,1,1,2,160,176,177,,,,,,,,,,,,,,,,-1.54,13.34,70.3359
push_up,2023-04-08 23:49:06.424,3,2,1,6,5,push_up,33.0,5,2,1,2,68,179,176,,,,,,,,,,,,,,,,-11.9,42.86,69.3478
push_up,2023-04-08 23:49:13.515,3,2,1,6,5,push_up,36.0,6,3,1,2,159,178,177,,,,,,,,,,,,,,,,-0.43,12.91,68.4271
