Pose,Costo_alineamiento,Desviacion_estandar,Factor_dev,Desviacion_estandar_f
1,7.093518087640405,1.2376962000306024,5.73,7.091999226175351752
2,6.989595923572779,1.6870103264930347,4.14,6.984222751681163658
3,7.093518087640405,1.2376962000306024,5.73,7.091999226175351752
