Pose,Costo_alineamiento,Desviacion_estandar,Factor_dev,Desviacion_estandar_f
1,14.899470137432218,1.6965616133894625,6,10.179369680336775
2,23.10488626826555,4.676961424999463,3,14.030884274998389
3,14.899470137432218,1.6965616133894625,6,10.179369680336775
4,24.57801410416141,4.451804730554552,3,13.355414191663656
5,14.899470137432218,1.6965616133894625,6,10.179369680336775
