Pose,Costo_alineamiento,Desviacion_estandar,Factor_dev,Desviacion_estandar_f
1,9.13546978065278,0.779099409728617,3,2.33729822918585
2,11.8843994254712,1.98221464424778,3,5.94664393274334
3,9.13546978065278,0.779099409728617,3,2.33729822918585
