pose,Angulo,Desviacion_estandar,Factor_dev,Desviacion_estandar_f,Articulacion
1,81.3766107121184,8.03990696489563,3,24.1197208946869,right_shoulder_angles
1,100.425808525884,5.10907641338017,3,15.3272292401405,right_hip_angles
1,68.540770008118,10.8370806551898,3,32.5112419655694,right_knee_angles
1,62.9590172463603,9.16113213913473,3,27.4833964174042,left_knee_angles
1,165.433934889751,4.46347622464222,3,13.3904286739267,right_elbow_angles
1,165.433934889751,4.46347622464222,3,13.3904286739267,left_elbow_angles
2,135.48349721089,16.3209258291941,3,48.9627774875823,right_shoulder_angles
2,96.951405353942,7.34427927500739,3,22.0328378250222,right_hip_angles
2,66.5815495543047,9.40985579264072,3,28.2295673779222,right_knee_angles
2,167.251949306661,4.00578737088668,3,12.01736211266,left_knee_angles
2,157.056433527039,15.0433161614259,3,45.1299484842777,right_elbow_angles
2,157.056433527039,15.0433161614259,3,45.1299484842777,left_elbow_angles
3,81.3766107121184,8.03990696489563,3,24.1197208946869,right_shoulder_angles
3,100.425808525884,5.10907641338017,3,15.3272292401405,right_hip_angles
3,68.540770008118,10.8370806551898,3,32.5112419655694,right_knee_angles
3,62.9590172463603,9.16113213913473,3,27.4833964174042,left_knee_angles
3,165.433934889751,4.46347622464222,3,13.3904286739267,right_elbow_angles
3,165.433934889751,4.46347622464222,3,13.3904286739267,left_elbow_angles
4,90.8931803281879,6.89365298740073,3,20.6809589622022,right_shoulder_angles
4,171.892958675684,1.89186900328377,3,5.67560700985131,right_hip_angles
4,165.921196794625,9.08861308789907,3,27.2658392636972,right_knee_angles
4,66.0160114907278,2.01673667103917,3,6.05021001311751,left_knee_angles
4,166.314102651793,2.05442037659621,3,6.16326112978863,right_elbow_angles
4,166.314102651793,2.05442037659621,3,6.16326112978863,left_elbow_angles
5,81.3766107121184,8.03990696489563,3,24.1197208946869,right_shoulder_angles
5,100.425808525884,5.10907641338017,3,15.3272292401405,right_hip_angles
5,68.540770008118,10.8370806551898,3,32.5112419655694,right_knee_angles
5,62.9590172463603,9.16113213913473,3,27.4833964174042,left_knee_angles
5,165.433934889751,4.46347622464222,3,13.3904286739267,right_elbow_angles
5,165.433934889751,4.46347622464222,3,13.3904286739267,left_elbow_angles
