Pose,Costo_alineamiento,Desviacion_estandar,Factor_dev,Desviacion_estandar_f
1,10.4990904907172,1.99712360582264,3,5.99137081746792
2,19.5492888726294,1.80368138605714,3,5.41104415817142
3,10.4990904907172,1.99712360582264,3,5.99137081746792
4,13.9179449602961,3.35064430065486,3,10.0519329019646
5,10.4990904907172,1.99712360582264,3,5.99137081746792
